1,Hatity,15,65,94,2016-02-24 04:43:11,Medina,2017-01-12 11:03:25
2,Mat Lam Tam,29,69,20,2016-12-25 15:13:30,Arnold,2016-08-29 09:25:25
3,Transcof,29,72,68,2016-05-29 18:00:54,Lewis,2017-01-30 10:29:41
4,Zaam-Dox,12,61,100,2016-11-01 14:34:24,Thompson,2016-03-18 20:53:05
5,Holdlamis,18,82,23,2016-07-10 11:41:02,Hughes,2016-02-15 00:28:21
6,Solarbreeze,14,87,38,2016-08-17 19:22:24,Bowman,2017-01-23 18:07:17
7,Zontrax,23,67,65,2015-12-05 06:20:32,Richardson,2015-12-13 23:18:18
8,Sub-Ex,19,75,94,2016-01-25 07:58:28,Reid,2015-12-14 18:25:46
9,Zontrax,19,78,67,2016-01-23 07:24:59,Ramirez,2016-07-21 03:37:01
10,Zathin,27,63,82,2016-11-10 04:27:54,Armstrong,2016-01-05 05:56:11
11,Bamity,20,68,12,2016-05-28 11:29:44,Johnston,2016-08-21 08:26:05
12,Y-find,23,71,69,2016-04-23 04:48:27,Payne,2015-12-12 00:11:57
13,Treeflex,11,69,93,2016-10-18 06:18:28,Dean,2016-03-29 15:05:05
14,Wrapsafe,11,78,82,2016-03-25 14:17:33,Alvarez,2016-07-30 07:03:03
15,Toughjoyfax,13,77,15,2016-07-19 23:33:01,Gilbert,2016-02-06 23:47:27
16,Veribet,21,76,78,2016-04-19 12:29:30,Rodriguez,2017-01-11 20:49:21
17,Zaam-Dox,11,71,20,2016-03-07 16:07:06,Morgan,2016-03-07 08:54:16
18,Kanlam,12,81,30,2016-06-26 11:03:30,Garcia,2016-02-03 05:08:44
19,Cardguard,12,71,15,2016-08-09 08:30:30,Dunn,2017-02-14 02:36:10
20,Zamit,22,84,66,2017-01-31 22:33:09,Hansen,2016-11-05 02:15:48
